p  x y rho rhoE rhoVel0 rhoVel1 s_rho s_rhoE s_rhoVel0 s_rhoVel1 H2 H O O2 OH H2O HO2 H2O2 C CH CH2 CH2(S) CH3 CH4 CO CO2 HCO CH2O CH2OH CH3O CH3OH C2H C2H2 C2H3 C2H4 C2H5 C2H6 HCCO CH2CO HCCOH N NH NH2 NH3 NNH NO NO2 N2O HNO CN HCN H2CN HCNN HCNO HOCN HNCO NCO AR C3H7 C3H8 CH2CHO CH3CHO N2 s_H2 s_H s_O s_O2 s_OH s_H2O s_HO2 s_H2O2 s_C s_CH s_CH2 s_CH2(S) s_CH3 s_CH4 s_CO s_CO2 s_HCO s_CH2O s_CH2OH s_CH3O s_CH3OH s_C2H s_C2H2 s_C2H3 s_C2H4 s_C2H5 s_C2H6 s_HCCO s_CH2CO s_HCCOH s_N s_NH s_NH2 s_NH3 s_NNH s_NO s_NO2 s_N2O s_HNO s_CN s_HCN s_H2CN s_HCNN s_HCNO s_HOCN s_HNCO s_NCO s_AR s_C3H7 s_C3H8 s_CH2CHO s_CH3CHO s_N2
659 -1.48437 -10 1.178739808498815 -101325.0000323696 2.357479616997631e-07 0 5.572347381210056e-08 -0.004790014679325657 1.114469476242011e-14 0 0 0 0 0.2707392124021525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9080005960966626 -0 -0 -0 1.279886307684266e-08 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 4.292461073525789e-08
2 3.520468363593077 -10.04976527856324 1.178739808269423 -101325 8.669651047902665e-09 -4.877743409172802e-12 2.196996786166256e-08 -1.021593535332272e-11 1.287650777802869e-06 -9.265484660039784e-10 -2.863888021749601e-112 -1.482791814365962e-83 8.418296524840515e-63 0.2707392123494645 2.776471955583302e-86 5.214961117482189e-87 3.320378416668622e-77 -1.067645787310091e-123 5.828242466483212e-93 7.292252407234396e-86 -1.727238372819583e-91 1.120544071149539e-93 -7.030519009000466e-97 -2.153195057482562e-132 2.657413622577746e-79 4.707440810666511e-86 2.204131949869837e-84 -2.238979262399367e-87 4.999770376309767e-107 1.284543351706458e-98 -1.872818402610234e-142 2.931501774426394e-102 7.480176909061946e-93 1.292408325700331e-95 5.840227138116811e-102 2.564056491898352e-102 -1.051309228252966e-140 -1.56559029042131e-106 5.011946067220619e-108 -6.565782017919578e-141 -3.839898198861584e-92 -7.682312198148709e-93 -1.250729364479177e-140 -1.088591961309129e-140 -1.258325670963904e-85 -2.9631867836376e-90 -8.17516811425205e-120 2.315791850278926e-62 -5.478191450201578e-94 -6.464574747518886e-97 1.833122645014132e-95 -5.199073929816117e-102 8.9376796467698e-85 1.418266286681614e-143 1.418266286681614e-143 5.480143919030985e-142 -3.307509785144465e-91 -2.072419519141249e-143 2.417990599593934e-120 -1.10647006713511e-138 5.167002201815818e-94 -6.808357329865199e-127 0.9080005959199584 -4.296995933278577e-110 -2.224790336717427e-81 1.263086592063736e-60 5.046178768614251e-09 4.165836307634302e-84 7.824561066580044e-85 4.981917045993514e-75 -1.601902578387396e-121 8.744732331168475e-91 1.094134222440168e-83 -2.591559518892872e-89 1.681271502315036e-91 -1.054863575708412e-94 -3.230667657147336e-130 3.98720042213091e-77 7.063074347168798e-84 3.307093669367862e-82 -3.359378827719519e-85 7.501687500032611e-105 1.927337073406456e-96 -2.809988728144898e-140 4.398441082697707e-100 1.122330535074733e-90 1.939137730768181e-93 8.762714209258735e-100 3.847126785234017e-100 -1.577391100529631e-138 -2.349021700580147e-104 7.519955984697206e-106 -9.85134139866199e-139 -5.761407855126895e-90 -1.152659043332793e-90 -1.876602350365577e-138 -1.6333303520322e-138 -1.887999897486897e-83 -4.445984431701661e-88 -1.226607460697748e-117 3.474628896079657e-60 -8.219513543988631e-92 -9.699489361840971e-95 2.750428959165254e-93 -7.800723828435991e-100 1.34101517948506e-82 2.127975821643297e-141 2.127975821643297e-141 8.222443040727363e-140 -4.962608868821024e-89 -3.109471521989451e-141 3.627968584754045e-118 -1.66015477653677e-136 7.752603202299809e-92 -1.021530295059003e-124 1.692378909304845e-08
16 6.31999566568391 -4.911075703587036 1.178739808129704 -101325 2.329775635433243e-10 -2.548267621745119e-11 1.598868535706008e-09 1.196707908889887e-12 4.918011697491304e-08 -5.256658492336093e-09 -2.86388802388343e-112 -1.482791815470762e-83 8.418296531112828e-63 0.2707392123173732 2.776471957651998e-86 5.214961121367759e-87 3.320378419142574e-77 -1.067645788105573e-123 5.828242470825725e-93 7.292252412667717e-86 -1.727238374106516e-91 1.120544071984435e-93 -7.030519014238773e-97 -2.153195059086867e-132 2.657413624557735e-79 4.707440814173936e-86 2.204131951512094e-84 -2.238979264067588e-87 4.999770380035001e-107 1.284543352663547e-98 -1.872818404005635e-142 2.931501776610601e-102 7.480176914635284e-93 1.29240832666328e-95 5.840227142468254e-102 2.564056493808782e-102 -1.051309229036276e-140 -1.565590291587801e-106 5.011946070954926e-108 -6.565782022811618e-141 -3.839898201722619e-92 -7.682312203872655e-93 -1.250729365411072e-140 -1.088591962120218e-140 -1.258325671901459e-85 -2.963186785845415e-90 -8.175168120343214e-120 2.315791852004379e-62 -5.478191454283276e-94 -6.464574752335518e-97 1.833122646379957e-95 -5.199073933689849e-102 8.937679653429096e-85 1.418266287738337e-143 1.418266287738337e-143 5.480143923114137e-142 -3.307509787608829e-91 -2.072419520685369e-143 2.417990601395533e-120 -1.10647006795952e-138 5.167002205665654e-94 -6.808357334937978e-127 0.9080005958123313 -4.296995938103209e-110 -2.224790339215403e-81 1.263086593481919e-60 3.672366072398042e-10 4.165836312311669e-84 7.824561075365397e-85 4.981917051587168e-75 -1.601902580185999e-121 8.744732340986989e-91 1.094134223668653e-83 -2.591559521802654e-89 1.681271504202754e-91 -1.054863576892804e-94 -3.230667660774703e-130 3.987200426607705e-77 7.06307435509916e-84 3.30709367308104e-82 -3.359378831491402e-85 7.501687508455444e-105 1.927337075570454e-96 -2.809988731299931e-140 4.398441087636244e-100 1.122330536334877e-90 1.939137732945428e-93 8.762714219097438e-100 3.84712678955354e-100 -1.577391102300713e-138 -2.349021703217609e-104 7.519955993140551e-106 -9.851341409722994e-139 -5.761407861595756e-90 -1.152659044626989e-90 -1.876602352472611e-138 -1.63333035386609e-138 -1.887999899606728e-83 -4.445984436693576e-88 -1.226607462074973e-117 3.474628899980942e-60 -8.219513553217434e-92 -9.699489372731477e-95 2.750428962253413e-93 -7.80072383719458e-100 1.34101518099074e-82 2.127975824032571e-141 2.127975824032571e-141 8.222443049959455e-140 -4.962608874393001e-89 -3.10947152548074e-141 3.627968588827498e-118 -1.660154778400778e-136 7.75260321100437e-92 -1.021530296205969e-124 1.231631928466106e-09
18 6.217390898723485 -15.20231480296413 1.17873980812999 -101325 2.431271583991748e-10 3.613295939703132e-11 1.658548423168285e-09 1.096415559720504e-12 5.128214627405766e-08 7.372726022096204e-09 -2.863888023727108e-112 -1.482791815389825e-83 8.418296530653325e-63 0.2707392123174387 2.776471957500447e-86 5.214961121083105e-87 3.320378418961335e-77 -1.067645788047297e-123 5.828242470507597e-93 7.292252412269676e-86 -1.727238374012236e-91 1.120544071923272e-93 -7.030519013855019e-97 -2.153195058969338e-132 2.657413624412683e-79 4.707440813916985e-86 2.204131951391784e-84 -2.238979263945376e-87 4.999770379762094e-107 1.284543352593431e-98 -1.872818403903409e-142 2.931501776450588e-102 7.480176914226987e-93 1.292408326592735e-95 5.840227142149471e-102 2.564056493668825e-102 -1.051309228978892e-140 -1.565590291502345e-106 5.011946070681353e-108 -6.565782022453231e-141 -3.839898201513023e-92 -7.682312203453324e-93 -1.250729365342802e-140 -1.088591962060798e-140 -1.258325671832775e-85 -2.963186785683672e-90 -8.17516811989698e-120 2.315791851877973e-62 -5.478191453984255e-94 -6.464574751982655e-97 1.833122646279898e-95 -5.199073933406063e-102 8.937679652941242e-85 1.418266287660923e-143 1.418266287660923e-143 5.480143922815008e-142 -3.307509787428291e-91 -2.072419520572249e-143 2.417990601263549e-120 -1.106470067899124e-138 5.167002205383619e-94 -6.808357334566351e-127 0.9080005958125511 -4.296995937751798e-110 -2.224790339033458e-81 1.263086593378623e-60 3.809442003925362e-10 4.165836311970984e-84 7.8245610747255e-85 4.981917051179745e-75 -1.601902580054994e-121 8.74473234027184e-91 1.094134223579174e-83 -2.591559521590715e-89 1.681271504065259e-91 -1.054863576806536e-94 -3.230667660510497e-130 3.987200426281629e-77 7.063074354521537e-84 3.307093672810584e-82 -3.35937883121667e-85 7.501687507841951e-105 1.927337075412836e-96 -2.809988731070128e-140 4.398441087276536e-100 1.122330536243092e-90 1.939137732786844e-93 8.762714218380819e-100 3.847126789238919e-100 -1.577391102171713e-138 -2.349021703025505e-104 7.519955992525565e-106 -9.851341408917345e-139 -5.761407861124585e-90 -1.152659044532724e-90 -1.876602352319141e-138 -1.633330353732515e-138 -1.887999899452326e-83 -4.445984436329981e-88 -1.22660746197466e-117 3.474628899696785e-60 -8.219513552545237e-92 -9.699489371938247e-95 2.750428962028481e-93 -7.800723836556632e-100 1.341015180881072e-82 2.127975823858544e-141 2.127975823858544e-141 8.222443049287018e-140 -4.962608873987155e-89 -3.109471525226445e-141 3.627968588530801e-118 -1.66015477826501e-136 7.752603210370357e-92 -1.021530296122428e-124 1.277604222775569e-09
668 -1.4843695 0 1.178739808522074 -101325.000034369 2.357479617044149e-07 0 5.912009986996324e-08 -0.005081990171237812 1.182401997399265e-14 0 0 0 0 0.2707392124074947 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9080005961145793 -0 -0 -0 1.357901816883156e-08 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 4.554108170113167e-08
125 2.799527302090832 0.1386895749762035 1.178739808306967 -101325 1.078147646073629e-08 1.847689806915522e-11 2.753397257410502e-08 -2.193351429888631e-11 1.594154225579745e-06 3.509573307483418e-09 -2.863888019261291e-112 -1.482791813077627e-83 8.418296517526215e-63 0.2707392123580877 2.776471953170943e-86 5.214961112951132e-87 3.320378413783687e-77 -1.067645786382459e-123 5.8282424614193e-93 7.29225240089847e-86 -1.727238371318859e-91 1.120544070175946e-93 -7.030519002891947e-97 -2.153195055611743e-132 2.657413620268833e-79 4.707440806576416e-86 2.204131947954761e-84 -2.238979260454014e-87 4.999770371965679e-107 1.284543350590373e-98 -1.872818400983021e-142 2.931501771879336e-102 7.480176902562739e-93 1.292408324577412e-95 5.840227133042487e-102 2.564056489670552e-102 -1.051309227339528e-140 -1.565590289061035e-106 5.011946062865953e-108 -6.565782012214849e-141 -3.83989819552526e-92 -7.682312191473876e-93 -1.250729363392472e-140 -1.088591960363298e-140 -1.258325669870599e-85 -2.963186781063013e-90 -8.175168107148994e-120 2.315791848266833e-62 -5.478191445441811e-94 -6.464574741902091e-97 1.83312264342141e-95 -5.199073925298863e-102 8.937679639004231e-85 1.418266285449343e-143 1.418266285449343e-143 5.480143914269521e-142 -3.307509782270711e-91 -2.072419517340612e-143 2.417990597493045e-120 -1.106470066173745e-138 5.167002197326431e-94 -6.808357323949708e-127 0.9080005959488789 -4.296995927673313e-110 -2.224790333815274e-81 1.263086590416088e-60 6.324148887878343e-09 4.165836302200131e-84 7.824561056373209e-85 4.981917039494797e-75 -1.601902576297776e-121 8.744732319761312e-91 1.094134221012913e-83 -2.591559515512283e-89 1.681271500121883e-91 -1.054863574332383e-94 -3.230667652933056e-130 3.987200416929762e-77 7.063074337955292e-84 3.307093665053888e-82 -3.359378823337341e-85 7.501687490246952e-105 1.92733707089232e-96 -2.809988724479377e-140 4.398441076960107e-100 1.122330533610697e-90 1.939137728238651e-93 8.762714197828115e-100 3.84712678021559e-100 -1.577391098471986e-138 -2.34902169751594e-104 7.519955974887716e-106 -9.851341385811298e-139 -5.761407847611362e-90 -1.152659041829194e-90 -1.876602347917623e-138 -1.633330349901584e-138 -1.887999895024075e-83 -4.445984425902047e-88 -1.226607459097686e-117 3.474628891547139e-60 -8.219513533266596e-92 -9.699489349188364e-95 2.750428955577426e-93 -7.800723818260251e-100 1.341015177735758e-82 2.127975818867435e-141 2.127975818867435e-141 8.222443030001507e-140 -4.962608862347494e-89 -3.109471517933266e-141 3.627968580021501e-118 -1.660154774371163e-136 7.752603192186841e-92 -1.021530293726457e-124 2.120982368622687e-08
16 6.31999566568391 -4.911075703587036 1.178739808129704 -101325 2.329775635433243e-10 -2.548267621745119e-11 1.598868535706008e-09 1.196707908889887e-12 4.918011697491304e-08 -5.256658492336093e-09 -2.86388802388343e-112 -1.482791815470762e-83 8.418296531112828e-63 0.2707392123173732 2.776471957651998e-86 5.214961121367759e-87 3.320378419142574e-77 -1.067645788105573e-123 5.828242470825725e-93 7.292252412667717e-86 -1.727238374106516e-91 1.120544071984435e-93 -7.030519014238773e-97 -2.153195059086867e-132 2.657413624557735e-79 4.707440814173936e-86 2.204131951512094e-84 -2.238979264067588e-87 4.999770380035001e-107 1.284543352663547e-98 -1.872818404005635e-142 2.931501776610601e-102 7.480176914635284e-93 1.29240832666328e-95 5.840227142468254e-102 2.564056493808782e-102 -1.051309229036276e-140 -1.565590291587801e-106 5.011946070954926e-108 -6.565782022811618e-141 -3.839898201722619e-92 -7.682312203872655e-93 -1.250729365411072e-140 -1.088591962120218e-140 -1.258325671901459e-85 -2.963186785845415e-90 -8.175168120343214e-120 2.315791852004379e-62 -5.478191454283276e-94 -6.464574752335518e-97 1.833122646379957e-95 -5.199073933689849e-102 8.937679653429096e-85 1.418266287738337e-143 1.418266287738337e-143 5.480143923114137e-142 -3.307509787608829e-91 -2.072419520685369e-143 2.417990601395533e-120 -1.10647006795952e-138 5.167002205665654e-94 -6.808357334937978e-127 0.9080005958123313 -4.296995938103209e-110 -2.224790339215403e-81 1.263086593481919e-60 3.672366072398042e-10 4.165836312311669e-84 7.824561075365397e-85 4.981917051587168e-75 -1.601902580185999e-121 8.744732340986989e-91 1.094134223668653e-83 -2.591559521802654e-89 1.681271504202754e-91 -1.054863576892804e-94 -3.230667660774703e-130 3.987200426607705e-77 7.06307435509916e-84 3.30709367308104e-82 -3.359378831491402e-85 7.501687508455444e-105 1.927337075570454e-96 -2.809988731299931e-140 4.398441087636244e-100 1.122330536334877e-90 1.939137732945428e-93 8.762714219097438e-100 3.84712678955354e-100 -1.577391102300713e-138 -2.349021703217609e-104 7.519955993140551e-106 -9.851341409722994e-139 -5.761407861595756e-90 -1.152659044626989e-90 -1.876602352472611e-138 -1.63333035386609e-138 -1.887999899606728e-83 -4.445984436693576e-88 -1.226607462074973e-117 3.474628899980942e-60 -8.219513553217434e-92 -9.699489372731477e-95 2.750428962253413e-93 -7.80072383719458e-100 1.34101518099074e-82 2.127975824032571e-141 2.127975824032571e-141 8.222443049959455e-140 -4.962608874393001e-89 -3.10947152548074e-141 3.627968588827498e-118 -1.660154778400778e-136 7.75260321100437e-92 -1.021530296205969e-124 1.231631928466106e-09
406 5.512851142902619 5.064669956147472 1.178739808131915 -101325 3.007782549766683e-10 -8.645061612789813e-12 2.063312281288967e-09 2.047396999023606e-12 6.293971073666478e-08 -1.715648657560295e-09 -2.863888022595792e-112 -1.482791814804081e-83 8.418296527327862e-63 0.270739212317881 2.776471956403664e-86 5.21496111902305e-87 3.320378417649692e-77 -1.067645787625547e-123 5.828242468205278e-93 7.292252409389032e-86 -1.727238373329929e-91 1.120544071480625e-93 -7.030519011077768e-97 -2.153195058118765e-132 2.65741362336293e-79 4.707440812057415e-86 2.204131950521091e-84 -2.238979263060917e-87 4.999770377787045e-107 1.284543352086001e-98 -1.872818403163594e-142 2.931501775292563e-102 7.480176911272108e-93 1.292408326082198e-95 5.840227139842419e-102 2.564056492655952e-102 -1.051309228563595e-140 -1.565590290883894e-106 5.011946068701495e-108 -6.565782019859564e-141 -3.839898199996156e-92 -7.682312200418596e-93 -1.250729364848729e-140 -1.088591961630774e-140 -1.258325671335701e-85 -2.963186784513131e-90 -8.175168116667561e-120 2.315791850963171e-62 -5.478191451820216e-94 -6.464574749428967e-97 1.833122645555763e-95 -5.199073931352284e-102 8.93767964941061e-85 1.418266287100668e-143 1.418266287100668e-143 5.480143920650199e-142 -3.307509786121733e-91 -2.072419519753585e-143 2.417990600308376e-120 -1.106470067462038e-138 5.167002203342509e-94 -6.808357331876859e-127 0.9080005958140341 -4.296995935208464e-110 -2.224790337716635e-81 1.263086592631019e-60 4.739125105881541e-10 4.165836309505282e-84 7.824561070094248e-85 4.981917048231016e-75 -1.60190257910685e-121 8.744732335095951e-91 1.094134222931571e-83 -2.591559520056806e-89 1.681271503070137e-91 -1.054863576182177e-94 -3.230667658598308e-130 3.987200423921659e-77 7.063074350340998e-84 3.30709367085316e-82 -3.359378829228299e-85 7.501687503401805e-105 1.927337074272071e-96 -2.809988729406934e-140 4.398441084673156e-100 1.1223305355788e-90 1.939137731639095e-93 8.762714213194286e-100 3.847126786961857e-100 -1.577391101238077e-138 -2.349021701635151e-104 7.519955988074604e-106 -9.85134140308647e-139 -5.761407857714485e-90 -1.152659043850481e-90 -1.876602351208406e-138 -1.633330352765769e-138 -1.887999898334845e-83 -4.445984433698462e-88 -1.226607461248648e-117 3.474628897640199e-60 -8.219513547680218e-92 -9.699489366197251e-95 2.750428960400539e-93 -7.800723831939489e-100 1.341015180087343e-82 2.127975822599024e-141 2.127975822599024e-141 8.222443044420266e-140 -4.962608871049854e-89 -3.109471523385991e-141 3.627968586383455e-118 -1.660154777282386e-136 7.752603205781695e-92 -1.021530295517798e-124 1.589399770700998e-09
674 -1.4843695 -30 1.178739808570954 -101325.0000385708 2.357479617141909e-07 0 6.623117239181576e-08 -0.00569326113902207 1.324623447836315e-14 0 0 0 0 0.2707392124187218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9080005961522325 -0 -0 -0 1.52123270297182e-08 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 5.101884536209755e-08
143 2.604767723283961 -30.07108988199865 1.178739808320938 -101325 1.156004774648307e-08 -1.030444767190519e-11 2.961853465742515e-08 -2.557949962451858e-11 1.707532674881722e-06 -1.947713006061331e-09 -2.863888018271168e-112 -1.482791812564986e-83 8.418296514615784e-63 0.2707392123612968 2.776471952211042e-86 5.21496111114818e-87 3.320378412635743e-77 -1.067645786013345e-123 5.82824245940432e-93 7.292252398377341e-86 -1.727238370721707e-91 1.120544069788544e-93 -7.030519000461308e-97 -2.153195054867326e-132 2.657413619350093e-79 4.707440804948928e-86 2.204131947192733e-84 -2.238979259679938e-87 4.999770370237125e-107 1.284543350146271e-98 -1.872818400335538e-142 2.931501770865837e-102 7.480176899976641e-93 1.292408324130592e-95 5.840227131023363e-102 2.564056488784089e-102 -1.051309226976062e-140 -1.565590288519768e-106 5.011946061133188e-108 -6.565782009944882e-141 -3.839898194197704e-92 -7.682312188817895e-93 -1.250729362960061e-140 -1.088591959986942e-140 -1.258325669435562e-85 -2.963186780038561e-90 -8.175168104322619e-120 2.315791847466202e-62 -5.478191443547855e-94 -6.464574739667114e-97 1.83312264278765e-95 -5.199073923501404e-102 8.937679635914235e-85 1.41826628495901e-143 1.41826628495901e-143 5.480143912374889e-142 -3.307509781127216e-91 -2.072419516624121e-143 2.417990596657081e-120 -1.106470065791209e-138 5.167002195540059e-94 -6.808357321595876e-127 0.9080005959596414 -4.296995925442826e-110 -2.224790332660429e-81 1.263086589760445e-60 6.802942165726649e-09 4.165836300037726e-84 7.824561052311632e-85 4.981917036908781e-75 -1.60190257546626e-121 8.744732315222092e-91 1.094134220444969e-83 -2.591559514167056e-89 1.681271499249168e-91 -1.054863573784824e-94 -3.230667651256079e-130 3.987200414860083e-77 7.063074334288988e-84 3.30709366333724e-82 -3.359378821593553e-85 7.501687486352973e-105 1.927337069891877e-96 -2.809988723020767e-140 4.398441074676961e-100 1.122330533028117e-90 1.939137727232083e-93 8.762714193279561e-100 3.847126778218622e-100 -1.577391097653193e-138 -2.349021696296608e-104 7.519955970984254e-106 -9.851341380697659e-139 -5.761407844620728e-90 -1.152659041230871e-90 -1.876602346943515e-138 -1.633330349053754e-138 -1.887999894044051e-83 -4.445984423594223e-88 -1.226607458460978e-117 3.474628889743527e-60 -8.219513529000007e-92 -9.699489344153548e-95 2.750428954149732e-93 -7.800723814211047e-100 1.341015177039663e-82 2.127975817762845e-141 2.127975817762845e-141 8.222443025733397e-140 -4.9626088597715e-89 -3.1094715163192e-141 3.627968578138293e-118 -1.660154773509409e-136 7.752603188162616e-92 -1.0215302931962e-124 2.281559249169874e-08
