p  x y rho rhoE rhoVel0 rhoVel1 s_rho s_rhoE s_rhoVel0 s_rhoVel1 H2 H O O2 OH H2O HO2 H2O2 C CH CH2 CH2(S) CH3 CH4 CO CO2 HCO CH2O CH2OH CH3O CH3OH C2H C2H2 C2H3 C2H4 C2H5 C2H6 HCCO CH2CO HCCOH N NH NH2 NH3 NNH NO NO2 N2O HNO CN HCN H2CN HCNN HCNO HOCN HNCO NCO AR C3H7 C3H8 CH2CHO CH3CHO N2 s_H2 s_H s_O s_O2 s_OH s_H2O s_HO2 s_H2O2 s_C s_CH s_CH2 s_CH2(S) s_CH3 s_CH4 s_CO s_CO2 s_HCO s_CH2O s_CH2OH s_CH3O s_CH3OH s_C2H s_C2H2 s_C2H3 s_C2H4 s_C2H5 s_C2H6 s_HCCO s_CH2CO s_HCCOH s_N s_NH s_NH2 s_NH3 s_NNH s_NO s_NO2 s_N2O s_HNO s_CN s_HCN s_H2CN s_HCNN s_HCNO s_HOCN s_HNCO s_NCO s_AR s_C3H7 s_C3H8 s_CH2CHO s_CH3CHO s_N2
662 75 76.4844 0.2342941824691245 214382.2198720858 0 0 -1.234102783891166e-08 -0.01129220075260616 0 0 0 0 1.017259377093063e-18 0.05381393075447382 6.007192654119433e-41 0 3.641966774718797e-39 0 2.522874576203955e-42 0 1.25244181745215e-44 0 0 2.257572581791612e-50 2.317719569062973e-43 4.795817881847316e-48 1.481603051372172e-40 5.889677777772488e-48 2.243837148459127e-46 0 2.191985758069599e-51 6.687514266644283e-49 0 0 7.044853999652089e-51 2.766105482598424e-46 3.239052486753127e-52 0 0 9.392053204279594e-52 3.130428356273411e-31 0 2.817668620241787e-51 0 1.147206351004681e-35 6.707640288432668e-31 1.439580971610377e-41 1.513810194066613e-18 9.269877657494456e-55 0 0 2.626106838229299e-45 3.96322940480255e-37 0 0 0 0 0 7.826370697947691e-53 7.827664739503181e-53 0 7.827665260599815e-53 0.1804802517146507 -0 -0 -5.358232184767885e-26 -2.834552742895116e-09 -3.164181500236913e-48 -0 -1.918340988305117e-46 -0 -1.328879148893014e-49 -0 -6.597013708537541e-52 -0 -0 -1.189136059062221e-57 -1.220817410964347e-50 -2.52611146237178e-55 -7.80407960219413e-48 -3.10228263679949e-55 -1.181901164736236e-53 -0 -1.154589370412543e-58 -3.522528765674836e-56 -0 -0 -3.71075109140756e-58 -1.45699668708641e-53 -1.706113079268799e-59 -0 -0 -4.94709637418455e-59 -1.648897257514266e-38 -0 -1.484156649421464e-58 -0 -6.042704673894644e-43 -3.533129788395907e-38 -7.582735798125234e-49 -7.973724977258564e-26 -4.882742585788274e-62 -0 -0 -1.383254900185792e-52 -2.087560344060485e-44 -0 -0 -0 -0 -0 -4.122401061910406e-60 -4.123082675200703e-60 -0 -4.123082949679053e-60 -9.506475096016541e-09
83 74.89166310449599 72.15981873722218 0.2342941825411667 214382.2186609999 -4.455364449626449e-24 -2.016263523918323e-09 2.100728461675334e-09 -0.189641563060386 -6.832140368289672e-08 -4.123148133210718e-07 -1.676706822887669e-28 2.686144216266348e-31 7.160132517741035e-11 0.05381393066654115 -5.473186559134074e-27 2.617993943425961e-29 -5.974255178119991e-28 4.438188586264226e-35 -2.508420990692434e-35 -2.619509946819966e-34 6.149640855758555e-34 -9.206127018724244e-36 2.525970305716792e-30 2.29936167708439e-31 -9.089490269520298e-28 3.393467404192479e-28 -1.124186967306613e-32 2.076141779024633e-28 -6.48318857466555e-35 3.114628547034636e-33 9.924749129907919e-31 9.667060484832445e-34 6.403929674452216e-30 1.381726323511962e-33 2.483654023932016e-29 6.332644155409665e-33 1.158375154623621e-29 -3.273745710801636e-36 2.314049943496755e-29 -1.674225745917084e-36 1.718239615991112e-19 -8.614608588906925e-33 -5.996668182115579e-33 -5.701108950229235e-34 7.677804703747235e-34 8.274006578746051e-15 1.080893751942067e-17 9.043312999094237e-11 -3.359337225010066e-32 1.394855148424949e-34 9.888729706302157e-31 3.520098614133103e-35 -1.754019032781438e-32 -2.546253502192405e-38 -1.177099208075675e-37 5.07248697258105e-35 7.378629743523048e-31 -1.751159965712363e-37 7.406855214789478e-35 -1.995838861889706e-31 2.268890032875646e-33 -6.751560916322783e-32 0.1804802517125829 -2.515741598574148e-26 4.030307999683398e-29 1.074310834710863e-08 -1.519369634438457e-08 -8.212005358232868e-25 3.928054811470317e-27 -8.963810588735655e-26 6.659086712478695e-33 -3.763651185118263e-33 -3.930329452001818e-32 9.226960359198309e-32 -1.381293165963792e-33 3.789981954561587e-28 3.450543724493267e-29 -1.363792687525981e-25 5.091580136493929e-26 -1.686737318957198e-30 3.115056366542613e-26 -9.72741744230972e-33 4.673208522187654e-31 1.489115691143858e-28 1.450451919090641e-31 9.608497273153115e-28 2.073150993293708e-31 3.726490375544104e-27 9.501539644399431e-31 1.73803454122479e-27 -4.91194894579022e-34 3.472015298848274e-27 -2.512018986225326e-34 2.578057679431372e-17 -1.292541369076162e-30 -8.997439175542679e-31 -8.553980225687602e-32 1.134769955856515e-31 1.241437224559438e-12 1.621779879776165e-15 1.356864427848841e-08 -5.040370991390762e-30 2.092849551244886e-32 1.483711330141905e-28 5.28157859279004e-33 -2.631800806015075e-30 -3.820415048570415e-36 -1.766127158568405e-35 7.610791766384915e-33 1.107094308660139e-28 -2.627451577161506e-35 1.111329282949441e-32 -2.994465653773736e-29 3.404257077083921e-31 -1.013008507318603e-29 -7.018556462196138e-09
71 69.7355341987504 69.49410333400067 0.2342941824828343 214382.2185823979 -5.580519904115773e-09 3.815916434149652e-09 -9.080632121450748e-09 -0.2047082545823303 -1.114789617321758e-06 7.283906385768909e-07 -1.67670684819833e-28 2.686144271906704e-31 7.16013263388301e-11 0.05381393065314304 -5.473186839036434e-27 2.617993985915381e-29 -5.974255276930386e-28 4.438188693929255e-35 -2.508421024573752e-35 -2.619509992107426e-34 6.149640954735941e-34 -9.206127162393738e-36 2.525970346151205e-30 2.299361713669714e-31 -9.089490417333118e-28 3.393467458989508e-28 -1.124186985609949e-32 2.076141812536522e-28 -6.483188673031474e-35 3.114628595250646e-33 9.924749292755271e-31 9.66706063865704e-34 6.403929779526373e-30 1.381726346541089e-33 2.483654064630053e-29 6.332644252623254e-33 1.158375172769865e-29 -3.273745763914699e-36 2.314049981562451e-29 -1.674225772814363e-36 1.718239643862069e-19 -8.614608731022537e-33 -5.99666827738165e-33 -5.701109041683312e-34 7.677804823777567e-34 8.274006712955785e-15 1.080893769474862e-17 9.043313145782618e-11 -3.359337278329633e-32 1.39485516956376e-34 9.888729891890992e-31 3.520098697001488e-35 -1.754019060784511e-32 -2.546253551066298e-38 -1.177099226993355e-37 5.072487048906696e-35 7.37862985685723e-31 -1.751159993404932e-37 7.406855337999137e-35 -1.995838892538844e-31 2.268890069662899e-33 -6.751561027304306e-32 0.1804802516676486 -2.51574165543643e-26 4.030308124742547e-29 1.074310860805757e-08 -1.776189094073723e-08 -8.212005987846624e-25 3.928054906936052e-27 -8.963810810751056e-26 6.659086954517107e-33 -3.763651261217267e-33 -3.930329553764759e-32 9.226960581578724e-32 -1.381293198241446e-33 3.789982045407976e-28 3.450009995680434e-29 -1.363792937732295e-25 5.091580259507702e-26 -1.686737360081572e-30 3.115056441836829e-26 -9.727417663293425e-33 4.673208630511099e-31 1.489115727733268e-28 1.45045195365097e-31 9.60849719423494e-28 2.07315104503812e-31 3.726490435485976e-27 9.501539862798956e-31 1.73803356942324e-27 -4.911949065125211e-34 3.472015384368891e-27 -2.512019046657409e-34 2.578057742052112e-17 -1.292541401007743e-30 -8.997439389579809e-31 -8.553980431163636e-32 1.134769982824994e-31 1.241437254713813e-12 1.621779919169021e-15 1.35686446080693e-08 -5.040371111185238e-30 2.092849598734125e-32 1.483711371849758e-28 5.281578779077476e-33 -2.631800868930947e-30 -3.820415158409528e-36 -1.766127201072167e-35 7.610791937851501e-33 1.107094334121761e-28 -2.627451639378734e-35 1.111329310633473e-32 -2.994563379777486e-29 3.404257159737825e-31 -1.013008532254599e-29 -1.563172303952989e-08
256 80.09225444379167 69.17982517962038 0.234294182527766 214382.2186429428 -1.183917128716846e-16 -1.894267495080367e-16 3.318211898920165e-10 -0.1920251299831293 -2.447041314307332e-11 -2.474511898971696e-08 -1.676702222744189e-28 2.685340283093849e-31 7.160132658392412e-11 0.05381393066346321 -5.473185061829609e-27 2.617993993372387e-29 -5.974255278794914e-28 4.438188341339982e-35 -2.508421050253974e-35 -2.619509976783945e-34 6.149640954989097e-34 -9.206127169858222e-36 2.525970344213799e-30 2.056758890051617e-28 -7.380637520878573e-29 3.393866933394708e-28 -1.124186988903047e-32 2.076141819976105e-28 -6.483188766774599e-35 3.114628617029247e-33 9.924749307537241e-31 9.667060702481469e-34 7.616275970683874e-30 1.381726344906218e-33 2.604888718012271e-29 6.33264437485769e-33 5.055418490438679e-29 -3.273745750201812e-36 2.314079917847039e-29 -1.674225782367278e-36 1.718239649743668e-19 -8.614608735963655e-33 -5.996668318565937e-33 -5.701109071730399e-34 7.67780493491341e-34 8.27400674127802e-15 1.080893773174802e-17 9.043313176738216e-11 -3.359337301901562e-32 1.394855189664686e-34 9.888729666076609e-31 3.520098443378166e-35 -1.754019071416626e-32 -2.546253481719761e-38 -1.177099232833236e-37 5.072487127645319e-35 7.378629947599076e-31 -1.75116000674336e-37 7.406855331810635e-35 3.738537657844214e-29 2.268890077590298e-33 -6.751561035292989e-32 0.1804802517022602 4.610521331827837e-24 4.032828999476074e-29 1.074310866403488e-08 -1.559998881559569e-08 -8.016016733614738e-25 3.92828045046499e-27 -8.909169214176003e-26 6.660326976442941e-33 -3.763651302129146e-33 -3.930329508142103e-32 9.227166918953495e-32 -1.381267254940975e-33 3.82683753040274e-28 2.047838152936452e-18 8.324510525581913e-18 3.98223796597393e-22 -1.665750710239435e-30 3.315373524736774e-26 -9.727417818385337e-33 4.691859261231252e-31 1.489116549881002e-28 1.450452072875926e-31 1.208438978901819e-20 2.07320865459856e-31 1.208439480390455e-20 9.493815718509116e-31 3.884483414179769e-19 -4.780563781762677e-34 2.987208128072209e-24 -2.087611444007881e-34 2.578057755485165e-17 -1.292541335553189e-30 -8.99743948295313e-31 -8.553980499437796e-32 1.134789684901339e-31 1.241437261182362e-12 1.621779927619358e-15 1.356864467876916e-08 -5.040371045105058e-30 2.092849644132466e-32 1.483711326907689e-28 5.281578208673899e-33 -2.631800893059211e-30 -3.820414905652544e-36 -1.76612721170954e-35 7.610792115692641e-33 1.107094354721698e-28 -2.627451669597951e-35 1.111309163644734e-32 3.746382663025646e-19 3.404512196326207e-31 -1.013001852658218e-29 -8.381171991171683e-09
663 85 -76.4843695 0.2342941824642301 214382.2198676074 0 0 -1.337691609546886e-08 -0.01224005196103052 0 0 0 0 1.017259377071813e-18 0.05381393075334966 6.007192653993944e-41 0 3.641966774642717e-39 0 2.522874576151253e-42 0 1.252441817425987e-44 0 0 1.614383395576006e-43 8.880225436323152e-43 3.618514334782524e-47 1.481603051341222e-40 5.889677777649453e-48 2.243837148412254e-46 0 2.191985758023809e-51 6.687514266504583e-49 9.526462395975894e-46 0 9.526620955096485e-46 2.766105482540641e-46 3.062275574142384e-44 0 1.783953919330189e-49 9.392053204083396e-52 3.130428356208017e-31 0 2.817668620182927e-51 0 1.147206350980716e-35 6.707640288292547e-31 1.439580971580305e-41 1.51381019403499e-18 9.269877657300811e-55 0 0 2.626106838174441e-45 3.963229404719759e-37 0 0 0 0 0 7.826370697784199e-53 2.953405860816904e-44 0 7.827665260436297e-53 0.1804802517108804 -0 -0 -5.807994543994309e-26 -3.072481053023295e-09 -3.429778377619861e-48 -0 -2.079363791899477e-46 -0 -1.440423367307434e-49 -0 -7.150757620164886e-52 -0 -0 -9.217246028648339e-51 -5.070122924997461e-50 -2.06597373172196e-54 -8.459142901513565e-48 -3.3626838119633e-55 -1.281108261012385e-53 -0 -1.251503953668325e-58 -3.818204800878504e-56 -5.439088876099786e-53 -0 -5.439179404683553e-53 -1.579294908733454e-53 -1.748391828839385e-51 -0 -1.018540095450559e-56 -5.362348580481042e-59 -1.78730333905172e-38 -0 -1.608734639528532e-58 -0 -6.549920676583995e-43 -3.829695658310881e-38 -8.219219814560816e-49 -8.643028067145072e-26 -5.292593026969669e-62 -0 -0 -1.499363341527258e-52 -2.262787178769373e-44 -0 -0 -0 -0 -0 -4.46842952117596e-60 -1.686233178326796e-51 -0 -4.469168645630324e-60 -1.030443504244556e-08
85 85.15992254849908 -72.14335108140108 0.2342941825410895 214382.2186608958 -3.187117806515053e-19 2.004640678138285e-09 2.59510960643449e-09 -0.1889688415367131 8.99639195345986e-10 3.736786872557817e-07 -1.676641899965813e-28 2.686144010755116e-31 7.160132520555956e-11 0.05381393066652341 -5.473186826172634e-27 2.617993947303035e-29 -5.974255318066899e-28 4.438188809638276e-35 -2.508420631762263e-35 -2.619509872332975e-34 6.149641068796414e-34 -9.206124444029997e-36 2.525970310270437e-30 2.868697559650948e-27 1.075143989393958e-26 3.399044727588083e-28 -1.124186963589386e-32 2.076141791624601e-28 -6.483188344716941e-35 3.11462856785877e-33 9.924749097843456e-31 9.667060476676898e-34 2.333089131174506e-29 1.381726333116e-33 4.176350367484036e-29 6.3326442743831e-33 5.556948623283307e-28 -3.273745662505981e-36 2.314467881325261e-29 -1.674225744788959e-36 1.718239616666618e-19 -8.61460843105764e-33 -5.99666812206715e-33 -5.701108940160319e-34 7.677804620277442e-34 8.274006581998878e-15 1.080893752367007e-17 9.043313002649509e-11 -3.359337186810426e-32 1.394855145030689e-34 9.888729652039224e-31 3.520098546339358e-35 -1.754019043991143e-32 -2.546253487061942e-38 -1.177099196639659e-37 5.072487052895544e-35 7.378629734108634e-31 -1.751159968160982e-37 7.406855182768518e-35 5.245673475023913e-28 2.268890031419872e-33 -6.751560919792202e-32 0.1804802517125234 1.552696691787731e-20 1.651462076888052e-28 1.074310835360448e-08 -1.508015285547734e-08 6.482310966762361e-23 4.678720046539264e-27 1.740556559921119e-24 1.078883611256913e-32 -3.763650377387178e-33 -3.930302417620834e-32 9.917962172508238e-32 -1.294406311761996e-33 1.272349155386967e-26 6.859139404082299e-15 2.788256436182118e-14 1.333661743086886e-18 6.860707244741773e-29 6.740676517901977e-24 -9.727232208006247e-33 6.714205197586475e-30 1.491840551917432e-28 1.450802376214425e-31 4.047610279652709e-17 2.266083039075362e-31 4.047611033303736e-17 -1.637104974398855e-30 1.301089790409896e-15 4.350917663570355e-32 9.993889908923236e-21 1.410025070425549e-31 2.578057680990199e-17 -1.2923180429995e-30 -8.997439040474641e-31 -8.553980203151746e-32 1.200691661443366e-31 1.241437225310077e-12 1.62177988075678e-15 1.356864428669264e-08 -5.039970597782267e-30 2.092849543642399e-32 1.483730634905677e-28 5.281578447522387e-33 -2.631800829843112e-30 -3.820090321178656e-36 -1.766118345921908e-35 7.610792124498972e-33 1.107094619325705e-28 -2.627451582711051e-35 1.043853073175151e-32 1.254833586939894e-15 4.258289852332512e-31 -9.906355962479232e-30 -6.637756200983488e-09
68 80.12446350527129 -69.4009817254443 0.234294182527766 214382.2186429428 1.89426733813209e-16 1.89426744802608e-16 3.579389916306641e-10 -0.1919899360880029 -2.983636845366129e-10 2.682171172289871e-08 -1.67670269119429e-28 2.685340278620825e-31 7.16013264646484e-11 0.05381393066346321 -5.473185051439934e-27 2.617993993827064e-29 -5.974255268300506e-28 4.438188333911143e-35 -2.508420851368004e-35 -2.619509967872302e-34 6.149641273090989e-34 -9.2061253344218e-36 2.525970354096011e-30 1.848583363132335e-28 -1.584302171910336e-28 3.393826458800574e-28 -1.124186986762528e-32 2.076141819016544e-28 -6.483188754472854e-35 3.114628612630667e-33 9.924749291004299e-31 9.667060686380241e-34 7.493430605787949e-30 1.381726342612094e-33 2.592604171743988e-29 6.332644319791684e-33 4.660536509120763e-29 -3.273745744581422e-36 2.314076880838789e-29 -1.674225782990349e-36 1.71823964688137e-19 -8.614608721612685e-33 -5.996668308576499e-33 -5.701109062233311e-34 7.677804864091878e-34 8.27400672749492e-15 1.080893771374215e-17 9.043313161673582e-11 -3.35933729630547e-32 1.394855187341094e-34 9.888729649603678e-31 3.520098437514314e-35 -1.754019068494662e-32 -2.546253477478139e-38 -1.177099229636225e-37 5.07248711919542e-35 7.378629935307532e-31 -1.751160003826224e-37 7.40685531940822e-35 3.357694480148222e-29 2.268890073810706e-33 -6.751561024046028e-32 0.1804802517022602 4.140878025943915e-24 4.032451375196648e-29 1.074310863719856e-08 -1.559398990091917e-08 -8.035872084537607e-25 3.928256356374515e-27 -8.914704977061273e-26 6.660194310980247e-33 -3.763650871687548e-33 -3.930329492313899e-32 9.227146701316676e-32 -1.381269474481728e-33 3.823103483545121e-28 1.840370480507844e-18 7.481149516462687e-18 3.578846708290171e-22 -1.667876883996768e-30 3.295079238368118e-26 -9.727417797765965e-33 4.68996963973391e-31 1.489116458637511e-28 1.450452058536005e-31 1.086011333955875e-20 2.073202801977761e-31 1.086011812657281e-20 9.494598159834603e-31 3.490944145571297e-19 -4.793891671310498e-34 2.684924089784719e-24 -2.132982493002598e-34 2.578057749045167e-17 -1.292541339078193e-30 -8.997439460477491e-31 -8.553980478069915e-32 1.13478767939282e-31 1.241437258081247e-12 1.621779923568146e-15 1.356864464487464e-08 -5.040371044622258e-30 2.092849638904524e-32 1.483711322617096e-28 5.281578195480355e-33 -2.63180088648501e-30 -3.820414905965664e-36 -1.766127204797868e-35 7.61079209667542e-33 1.107094351946713e-28 -2.627451663034568e-35 1.111311202042364e-32 3.3668344599191e-19 3.404486314838949e-31 -1.01300252871184e-29 -8.361053042244878e-09
554 89.73586134908888 -70.16224389528895 0.2342941825277711 214382.2186388024 -1.067826811088442e-11 -2.36524424737106e-11 5.139931534782611e-05 69.06707583302796 -0.006273880888943415 0.003934949286129511 2.474458894929463e-18 1.989589303553955e-26 7.160132580901328e-11 0.05381393066209614 1.046139934466511e-20 1.19673112053828e-25 2.916683590796724e-22 6.582508685577829e-31 3.061521308329896e-34 -2.191393652670731e-34 1.105836682995482e-30 1.409178636511441e-32 1.967282497181101e-24 1.093106664113611e-12 4.443504515813301e-12 2.125389786538991e-16 1.120236109812826e-26 1.069263745911447e-21 -3.53794799908485e-35 9.955362830240239e-28 4.442189382302459e-29 6.55190157616714e-33 6.450473608518372e-15 3.076053297745989e-30 6.450474809133538e-15 -4.123122559307536e-28 2.073481579422178e-13 7.012135835560961e-30 1.592675585255067e-18 2.251325897278454e-29 1.718239631147894e-19 2.69700902929645e-32 -5.99666729334875e-33 -5.701108938842836e-34 1.05132926648424e-30 8.27400665201675e-15 1.080893761532394e-17 9.043313077758796e-11 3.020166746416357e-32 1.394855683597938e-34 1.296717881762017e-30 3.520222690181747e-35 -1.754001300961794e-32 2.628253407227195e-38 -8.718047134231625e-38 5.07531276725397e-35 7.428475272524972e-31 -1.751160047305183e-37 -1.074593963606923e-31 1.999765386633284e-13 1.361259795266962e-29 3.558723996435372e-29 0.1804802516976753 5.579824789046048e-16 4.486439411986157e-24 1.074312419710416e-08 1.178968265986335e-05 2.359012199475388e-18 2.698345324443186e-23 6.577031855964954e-20 1.484294717873341e-28 4.593534775625764e-32 -2.964907893099022e-32 2.490140037480179e-28 3.159156633046843e-30 4.436156834437839e-22 2.464920178650664e-10 1.00199589889383e-09 4.792685237705246e-14 2.526097117148691e-24 2.411155077163216e-19 -3.086937812243902e-33 2.244901031802015e-25 9.942063957229497e-27 1.404487682884427e-30 1.45456093915442e-12 6.935357363016276e-28 1.454561209889263e-12 -9.297555387694279e-26 4.675633909269594e-11 1.581213844439893e-27 3.591431940728065e-16 5.076645849842137e-27 2.578061483004877e-17 6.731689971700103e-30 -8.99744632889535e-31 -8.553991872733373e-32 2.370117020262156e-28 1.24143905619545e-12 1.621782272617301e-15 1.356866429468073e-08 9.345197448756798e-30 2.092852880094492e-32 2.177896748757566e-28 5.281897047138921e-33 -2.631760752832894e-30 7.847919838317002e-36 -1.202391203144634e-35 7.617178003784065e-33 1.118335919739939e-28 -2.627455175668007e-35 -2.423733574236454e-29 4.509406278367732e-11 3.069425379269343e-27 8.029900712497979e-27 3.958397637453907e-05
664 75 -76.4843695 0.234294182467642 214382.2198707293 0 0 -1.265837958580938e-08 -0.01158258172264661 0 0 0 0 1.017259377086626e-18 0.05381393075413331 6.007192654081421e-41 0 3.641966774695752e-39 0 2.522874576187991e-42 0 1.252441817444226e-44 0 0 2.257572581777327e-50 2.317719569048307e-43 4.79581788181697e-48 1.481603051362797e-40 5.88967777773522e-48 2.243837148444929e-46 0 2.191985758055729e-51 6.687514266601968e-49 0 0 7.044853999607512e-51 2.766105482580921e-46 3.239052486732632e-52 0 0 9.392053204220165e-52 3.130428356253603e-31 0 2.817668620223959e-51 0 1.147206350997422e-35 6.707640288390226e-31 1.439580971601268e-41 1.513810194057035e-18 9.269877657435801e-55 0 0 2.626106838212683e-45 3.963229404777473e-37 0 0 0 0 0 7.826370697898168e-53 7.827664739453651e-53 0 7.827665260550285e-53 0.1804802517135086 -0 -0 -5.49602008755165e-26 -2.907443775665919e-09 -3.245548995692639e-48 -0 -1.967671471286818e-46 -0 -1.363051514827353e-49 -0 -6.766657100647192e-52 -0 -0 -1.219714906348554e-57 -1.252210949903714e-50 -2.59107087222858e-55 -8.004762910506283e-48 -3.182058391867036e-55 -1.212293965415841e-53 -0 -1.184279843396864e-58 -3.613111225408026e-56 -0 -0 -3.806173722045161e-58 -1.494463618520853e-53 -1.749986083460867e-59 -0 -0 -5.074311845773448e-59 -1.691298946575941e-38 -0 -1.522322004164341e-58 -0 -6.198093909643796e-43 -3.623984855331945e-38 -7.777727210770094e-49 -8.17877074685292e-26 -5.008303188152857e-62 -0 -0 -1.418825548328622e-52 -2.141242333161356e-44 -0 -0 -0 -0 -0 -4.228409345457529e-60 -4.229108486555981e-60 -0 -4.22910876809259e-60 -9.750935810143461e-09
104 74.96454095677221 -72.25763064404322 0.2342941825416447 214382.2186616439 -1.14500134509816e-24 2.088177680897627e-09 2.109705744506344e-09 -0.1896294660548309 -7.538758322031857e-08 4.305333530209584e-07 -1.67670681942446e-28 2.686144207462083e-31 7.160132501214792e-11 0.05381393066665093 -5.473186505291866e-27 2.617993937378245e-29 -5.9742551639203e-28 4.438188568328387e-35 -2.508420986370454e-35 -2.619509940170747e-34 6.149640841731456e-34 -9.206126998696018e-36 2.525970300002722e-30 2.299361671930067e-31 -9.089490248459977e-28 3.393467396413346e-28 -1.12418696469716e-32 2.07614177426817e-28 -6.483188561167001e-35 3.114628540342845e-33 9.924749106599314e-31 9.667060463162818e-34 6.40392965941299e-30 1.381726320189854e-33 2.483654018110775e-29 6.332644141980529e-33 1.158375152088701e-29 -3.273745703243204e-36 2.314049938041371e-29 -1.674225742108823e-36 1.718239612025257e-19 -8.614608568510214e-33 -5.996668168706764e-33 -5.701108937290826e-34 7.677804686855926e-34 8.274006559648885e-15 1.080893749447264e-17 9.043312978221442e-11 -3.359337217508908e-32 1.39485514552604e-34 9.888729678047252e-31 3.520098600451909e-35 -1.7540190288297e-32 -2.546253494682761e-38 -1.177099205396691e-37 5.072486962156934e-35 7.378629727862086e-31 -1.751159961824126e-37 7.406855197032763e-35 -1.995838857655115e-31 2.268890027642205e-33 -6.751560900423285e-32 0.1804802517129511 -2.515741590772759e-26 4.030307979857058e-29 1.074310830988419e-08 -1.519163434012192e-08 -8.212005237032059e-25 3.928054797848181e-27 -8.963810556752398e-26 6.659086672093339e-33 -3.763651175380529e-33 -3.930329437025927e-32 9.226960327602737e-32 -1.381293161452315e-33 3.789981941690748e-28 3.450526146356823e-29 -1.36379268992311e-25 5.09158011896835e-26 -1.686737313079577e-30 3.115056355828878e-26 -9.727417411902304e-33 4.673208507113855e-31 1.489115685893797e-28 1.45045191420956e-31 9.608497228912473e-28 2.073150985811088e-31 3.726490361395633e-27 9.501539614148866e-31 1.738034502193346e-27 -4.911948928765274e-34 3.472015286560277e-27 -2.512018977647325e-34 2.578057670498503e-17 -1.292541364482011e-30 -8.997439145339272e-31 -8.553980196544146e-32 1.134769952051688e-31 1.241437220257907e-12 1.621779874156761e-15 1.356864423147359e-08 -5.040370974494352e-30 2.092849544714667e-32 1.48371132377864e-28 5.281578561984114e-33 -2.631800797113827e-30 -3.820415031658349e-36 -1.766127152534072e-35 7.610791742902815e-33 1.107094305132343e-28 -2.627451568403185e-35 1.111329278949961e-32 -2.994468857913159e-29 3.40425706529588e-31 -1.013008503737388e-29 -7.011641099384465e-09
