p  x y rho rhoE rhoVel0 rhoVel1 s_rho s_rhoE s_rhoVel0 s_rhoVel1 H2 H O O2 OH H2O HO2 H2O2 C CH CH2 CH2(S) CH3 CH4 CO CO2 HCO CH2O CH2OH CH3O CH3OH C2H C2H2 C2H3 C2H4 C2H5 C2H6 HCCO CH2CO HCCOH N NH NH2 NH3 NNH NO NO2 N2O HNO CN HCN H2CN HCNN HCNO HOCN HNCO NCO AR C3H7 C3H8 CH2CHO CH3CHO N2 s_H2 s_H s_O s_O2 s_OH s_H2O s_HO2 s_H2O2 s_C s_CH s_CH2 s_CH2(S) s_CH3 s_CH4 s_CO s_CO2 s_HCO s_CH2O s_CH2OH s_CH3O s_CH3OH s_C2H s_C2H2 s_C2H3 s_C2H4 s_C2H5 s_C2H6 s_HCCO s_CH2CO s_HCCOH s_N s_NH s_NH2 s_NH3 s_NNH s_NO s_NO2 s_N2O s_HNO s_CN s_HCN s_H2CN s_HCNN s_HCNO s_HOCN s_HNCO s_NCO s_AR s_C3H7 s_C3H8 s_CH2CHO s_CH3CHO s_N2
659 -1.48437 -10 1.178739808380917 -101325.000022235 2.357479616761834e-07 0 5.649994893889636e-08 -0.004856760827780519 1.129998978777927e-14 0 0 0 0 0.270739212375073 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9080005960058438 -0 -0 -0 1.297720800314687e-08 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 4.352274093574949e-08
2 3.520468363593077 -10.04976527856324 1.178739808221431 -101325 5.896943351894517e-09 -3.072456939167173e-18 2.208178133241687e-08 -6.836950836235647e-12 1.300799998028985e-06 -7.318597463703954e-10 -1.909258684712697e-112 -9.885278780800865e-84 5.612197718314521e-63 0.2707392123384415 1.850981307160252e-86 3.47664075144571e-87 2.213585615223978e-77 -7.117638595287719e-124 3.885494984872473e-93 4.861501613852784e-86 -1.151492250685194e-91 7.470293821539071e-94 -4.687012681372731e-97 -1.435463374321301e-132 1.771609085009121e-79 3.138293879606805e-86 1.469421308731581e-84 -1.492652844372062e-87 3.33318025707032e-107 8.563622360615966e-99 -1.248545604059221e-142 1.95433517711759e-102 4.986784615303853e-93 8.61605552067251e-96 3.893484765976379e-102 1.709370997773922e-102 -7.00872820137126e-141 -1.043726862219469e-106 3.341297384353274e-108 -4.377188020076664e-141 -2.559932137329258e-92 -5.12154147494533e-93 -8.338195778682048e-141 -7.25727975554068e-141 -8.388837821538102e-86 -1.975457859427656e-90 -5.450112086291184e-120 1.543861243171519e-62 -3.652127640251256e-94 -4.309716506350879e-97 1.222081765612674e-95 -3.466049292981989e-102 5.958453108913887e-85 9.455108595439539e-144 9.455108595439539e-144 3.653429286139945e-142 -2.205006527525268e-91 -1.381613015327069e-143 1.611993736056773e-120 -7.376467127935268e-139 3.444668140942077e-94 -4.538904895007455e-127 0.9080005958829898 -4.296995937279782e-110 -2.22479033878907e-81 1.263086593239876e-60 5.071860679744876e-09 4.165836311513377e-84 7.824561073865989e-85 4.981917050632492e-75 -1.601902579879029e-121 8.744732339311251e-91 1.094134223458986e-83 -2.591559521306038e-89 1.681271503880575e-91 -1.054863576690662e-94 -3.230667660155615e-130 3.987200425843645e-77 7.063074353745674e-84 3.307093672447307e-82 -3.35937883084765e-85 7.501687507017909e-105 1.927337075201122e-96 -2.809988730761457e-140 4.398441086793374e-100 1.122330536119807e-90 1.939137732573835e-93 8.762714217418254e-100 3.847126788816321e-100 -1.57739110199844e-138 -2.34902170276747e-104 7.519955991699514e-106 -9.851341407835198e-139 -5.761407860491707e-90 -1.152659044406107e-90 -1.876602352113001e-138 -1.633330353553097e-138 -1.887999899244934e-83 -4.445984435841599e-88 -1.22660746183992e-117 3.474628899315105e-60 -8.219513551642341e-92 -9.699489370872781e-95 2.750428961726353e-93 -7.80072383569974e-100 1.341015180733764e-82 2.12797582362479e-141 2.12797582362479e-141 8.222443048383802e-140 -4.962608873442024e-89 -3.109471524884877e-141 3.627968588132277e-118 -1.660154778082646e-136 7.75260320951875e-92 -1.021530296010215e-124 1.700992065267205e-08
16 6.31999566568391 -4.911075703587036 1.178739808122251 -101325 4.436559617492833e-16 -3.04373915901651e-17 1.118355603371859e-09 1.1432791865798e-12 3.495610290696382e-08 -3.823437066876274e-09 -1.909258684712697e-112 -9.885278780800865e-84 5.612197718314521e-63 0.2707392123156612 1.850981307160252e-86 3.47664075144571e-87 2.213585615223978e-77 -7.117638595287719e-124 3.885494984872473e-93 4.861501613852784e-86 -1.151492250685194e-91 7.470293821539071e-94 -4.687012681372731e-97 -1.435463374321301e-132 1.771609085009121e-79 3.138293879606805e-86 1.469421308731581e-84 -1.492652844372062e-87 3.33318025707032e-107 8.563622360615966e-99 -1.248545604059221e-142 1.954335177117592e-102 4.986784615303853e-93 8.61605552067251e-96 3.893484765976379e-102 1.709370997773922e-102 -7.00872820137126e-141 -1.043726862219469e-106 3.341297384353274e-108 -4.377188020076664e-141 -2.559932137329258e-92 -5.12154147494533e-93 -8.338195778682048e-141 -7.25727975554068e-141 -8.388837821538102e-86 -1.975457859427656e-90 -5.450112086291184e-120 1.543861243171519e-62 -3.652127640251256e-94 -4.309716506350879e-97 1.222081765612674e-95 -3.466049292981989e-102 5.958453108913887e-85 9.455108595439539e-144 9.455108595439539e-144 3.653429286139945e-142 -2.205006527525268e-91 -1.381613015327069e-143 1.611993736056773e-120 -7.376467127935268e-139 3.444668140942077e-94 -4.538904895007455e-127 0.9080005958065896 -4.296995940481393e-110 -2.22479034044672e-81 1.263086594180978e-60 2.568698478318685e-10 4.165836314617262e-84 7.824561079695922e-85 4.981917054344425e-75 -1.601902581072576e-121 8.744732345826786e-91 1.094134224274205e-83 -2.59155952323696e-89 1.681271505133258e-91 -1.054863577476621e-94 -3.230667662562725e-130 3.987200428814432e-77 7.063074359008238e-84 3.30709367491136e-82 -3.35937883335066e-85 7.501687512607275e-105 1.927337076637144e-96 -2.809988732855127e-140 4.398441090070573e-100 1.122330536956034e-90 1.93913773401865e-93 8.762714223947187e-100 3.847126791682743e-100 -1.577391103173725e-138 -2.349021704517682e-104 7.519955997302492e-106 -9.851341415175247e-139 -5.761407864784423e-90 -1.152659045264932e-90 -1.876602353511222e-138 -1.633330354770061e-138 -1.887999900651647e-83 -4.445984439154218e-88 -1.226607462753842e-117 3.474628901903985e-60 -8.219513557766547e-92 -9.699489378099687e-95 2.750428963775645e-93 -7.800723841511912e-100 1.341015181732929e-82 2.127975825210305e-141 2.127975825210305e-141 8.22244305451019e-140 -4.96260887713957e-89 -3.109471527201685e-141 3.627968590835408e-118 -1.660154779319596e-136 7.752603215295069e-92 -1.021530296771338e-124 8.614857555400225e-10
18 6.217390898723485 -15.20231480296413 1.178739808122251 -101325 2.645172970041442e-16 8.897035706145927e-20 1.161164618510745e-09 1.098137328330413e-12 3.647895462216418e-08 5.421412378968741e-09 -1.909258684712697e-112 -9.885278780800865e-84 5.612197718314521e-63 0.2707392123156612 1.850981307160252e-86 3.47664075144571e-87 2.213585615223978e-77 -7.117638595287719e-124 3.885494984872473e-93 4.861501613852784e-86 -1.151492250685194e-91 7.470293821539071e-94 -4.687012681372731e-97 -1.435463374321301e-132 1.771609085009121e-79 3.138293879606805e-86 1.469421308731581e-84 -1.492652844372062e-87 3.33318025707032e-107 8.563622360615966e-99 -1.248545604059221e-142 1.954335177117592e-102 4.986784615303853e-93 8.61605552067251e-96 3.893484765976379e-102 1.709370997773922e-102 -7.00872820137126e-141 -1.043726862219469e-106 3.341297384353274e-108 -4.377188020076664e-141 -2.559932137329258e-92 -5.12154147494533e-93 -8.338195778682048e-141 -7.25727975554068e-141 -8.388837821538102e-86 -1.975457859427656e-90 -5.450112086291184e-120 1.543861243171519e-62 -3.652127640251256e-94 -4.309716506350879e-97 1.222081765612674e-95 -3.466049292981989e-102 5.958453108913887e-85 9.455108595439539e-144 9.455108595439539e-144 3.653429286139945e-142 -2.205006527525268e-91 -1.381613015327069e-143 1.611993736056773e-120 -7.376467127935268e-139 3.444668140942077e-94 -4.538904895007455e-127 0.9080005958065896 -4.296995940246846e-110 -2.224790340325282e-81 1.263086594112033e-60 2.667024495297316e-10 4.165836314389874e-84 7.824561079268827e-85 4.981917054072492e-75 -1.601902580985138e-121 8.744732345349464e-91 1.094134224214483e-83 -2.591559523095502e-89 1.681271505041488e-91 -1.054863577419042e-94 -3.230667662386383e-130 3.987200428596795e-77 7.063074358622707e-84 3.307093674730846e-82 -3.359378833167292e-85 7.501687512197802e-105 1.927337076531943e-96 -2.809988732701746e-140 4.398441089830488e-100 1.122330536894773e-90 1.939137733912804e-93 8.762714223468884e-100 3.847126791472751e-100 -1.577391103087624e-138 -2.349021704389463e-104 7.519955996892023e-106 -9.851341414637521e-139 -5.761407864469943e-90 -1.152659045202015e-90 -1.87660235340879e-138 -1.633330354680907e-138 -1.887999900548592e-83 -4.445984438911539e-88 -1.226607462686889e-117 3.474628901714326e-60 -8.219513557317892e-92 -9.699489377570249e-95 2.750428963625516e-93 -7.800723841086118e-100 1.341015181659731e-82 2.127975825094151e-141 2.127975825094151e-141 8.222443054061376e-140 -4.962608876868691e-89 -3.109471527031958e-141 3.627968590637379e-118 -1.660154779228978e-136 7.752603214871901e-92 -1.021530296715579e-124 8.944621689811053e-10
668 -1.4843695 0 1.178739808397451 -101325.0000236563 2.357479616794902e-07 0 5.99897273625242e-08 -0.00515674373862951 1.199794547250484e-14 0 0 0 0 0.2707392123788706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9080005960185801 -0 -0 -0 1.377875882467575e-08 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 4.621096853784844e-08
125 2.799527302090832 0.1386895749762035 1.178739808246972 -101325 7.415538444265077e-09 1.468280160890946e-17 2.771488344474613e-08 -1.485461657953993e-11 1.617659636055144e-06 2.77228562477763e-09 -1.909258684712697e-112 -9.885278780800865e-84 5.612197718314521e-63 0.270739212344308 1.850981307160252e-86 3.47664075144571e-87 2.213585615223978e-77 -7.117638595287719e-124 3.885494984872473e-93 4.861501613852784e-86 -1.151492250685194e-91 7.470293821539071e-94 -4.687012681372731e-97 -1.435463374321301e-132 1.771609085009121e-79 3.138293879606805e-86 1.469421308731581e-84 -1.492652844372062e-87 3.33318025707032e-107 8.563622360615966e-99 -1.248545604059221e-142 1.954335177117589e-102 4.986784615303853e-93 8.61605552067251e-96 3.893484765976379e-102 1.709370997773922e-102 -7.00872820137126e-141 -1.043726862219469e-106 3.341297384353274e-108 -4.377188020076664e-141 -2.559932137329258e-92 -5.12154147494533e-93 -8.338195778682048e-141 -7.25727975554068e-141 -8.388837821538102e-86 -1.975457859427656e-90 -5.450112086291184e-120 1.543861243171519e-62 -3.652127640251256e-94 -4.309716506350879e-97 1.222081765612674e-95 -3.466049292981989e-102 5.958453108913887e-85 9.455108595439539e-144 9.455108595439539e-144 3.653429286139945e-142 -2.205006527525268e-91 -1.381613015327069e-143 1.611993736056773e-120 -7.376467127935268e-139 3.444668140942077e-94 -4.538904895007455e-127 0.9080005959026646 -4.296995933546306e-110 -2.224790336856045e-81 1.263086592142433e-60 6.365701456374897e-09 4.165836307893859e-84 7.824561067067562e-85 4.981917046303917e-75 -1.601902578487204e-121 8.744732331713325e-91 1.094134222508339e-83 -2.591559519054342e-89 1.68127150241979e-91 -1.054863575774136e-94 -3.230667657348626e-130 3.987200422379337e-77 7.06307434760887e-84 3.307093669573915e-82 -3.35937882792883e-85 7.501687500500011e-105 1.927337073526541e-96 -2.809988728319978e-140 4.398441082971752e-100 1.122330535144662e-90 1.939137730889001e-93 8.762714209804706e-100 3.847126785473717e-100 -1.577391100627913e-138 -2.349021700726506e-104 7.519955985165746e-106 -9.851341399275787e-139 -5.761407855485865e-90 -1.152659043404611e-90 -1.876602350482501e-138 -1.633330352133966e-138 -1.887999897604531e-83 -4.445984431978673e-88 -1.226607460774173e-117 3.474628896296148e-60 -8.219513544500756e-92 -9.699489362445307e-95 2.750428959336622e-93 -7.800723828922024e-100 1.341015179568613e-82 2.127975821775883e-141 2.127975821775883e-141 8.222443041239672e-140 -4.962608869130225e-89 -3.10947152218319e-141 3.627968584980089e-118 -1.660154776640208e-136 7.752603202782845e-92 -1.021530295122651e-124 2.134918198837126e-08
16 6.31999566568391 -4.911075703587036 1.178739808122251 -101325 4.436559617492833e-16 -3.04373915901651e-17 1.118355603371859e-09 1.1432791865798e-12 3.495610290696382e-08 -3.823437066876274e-09 -1.909258684712697e-112 -9.885278780800865e-84 5.612197718314521e-63 0.2707392123156612 1.850981307160252e-86 3.47664075144571e-87 2.213585615223978e-77 -7.117638595287719e-124 3.885494984872473e-93 4.861501613852784e-86 -1.151492250685194e-91 7.470293821539071e-94 -4.687012681372731e-97 -1.435463374321301e-132 1.771609085009121e-79 3.138293879606805e-86 1.469421308731581e-84 -1.492652844372062e-87 3.33318025707032e-107 8.563622360615966e-99 -1.248545604059221e-142 1.954335177117592e-102 4.986784615303853e-93 8.61605552067251e-96 3.893484765976379e-102 1.709370997773922e-102 -7.00872820137126e-141 -1.043726862219469e-106 3.341297384353274e-108 -4.377188020076664e-141 -2.559932137329258e-92 -5.12154147494533e-93 -8.338195778682048e-141 -7.25727975554068e-141 -8.388837821538102e-86 -1.975457859427656e-90 -5.450112086291184e-120 1.543861243171519e-62 -3.652127640251256e-94 -4.309716506350879e-97 1.222081765612674e-95 -3.466049292981989e-102 5.958453108913887e-85 9.455108595439539e-144 9.455108595439539e-144 3.653429286139945e-142 -2.205006527525268e-91 -1.381613015327069e-143 1.611993736056773e-120 -7.376467127935268e-139 3.444668140942077e-94 -4.538904895007455e-127 0.9080005958065896 -4.296995940481393e-110 -2.22479034044672e-81 1.263086594180978e-60 2.568698478318685e-10 4.165836314617262e-84 7.824561079695922e-85 4.981917054344425e-75 -1.601902581072576e-121 8.744732345826786e-91 1.094134224274205e-83 -2.59155952323696e-89 1.681271505133258e-91 -1.054863577476621e-94 -3.230667662562725e-130 3.987200428814432e-77 7.063074359008238e-84 3.30709367491136e-82 -3.35937883335066e-85 7.501687512607275e-105 1.927337076637144e-96 -2.809988732855127e-140 4.398441090070573e-100 1.122330536956034e-90 1.93913773401865e-93 8.762714223947187e-100 3.847126791682743e-100 -1.577391103173725e-138 -2.349021704517682e-104 7.519955997302492e-106 -9.851341415175247e-139 -5.761407864784423e-90 -1.152659045264932e-90 -1.876602353511222e-138 -1.633330354770061e-138 -1.887999900651647e-83 -4.445984439154218e-88 -1.226607462753842e-117 3.474628901903985e-60 -8.219513557766547e-92 -9.699489378099687e-95 2.750428963775645e-93 -7.800723841511912e-100 1.341015181732929e-82 2.127975825210305e-141 2.127975825210305e-141 8.22244305451019e-140 -4.96260887713957e-89 -3.109471527201685e-141 3.627968590835408e-118 -1.660154779319596e-136 7.752603215295069e-92 -1.021530296771338e-124 8.614857555400225e-10
406 5.512851142902619 5.064669956147472 1.178739808122251 -101325 4.622677738906326e-16 -2.863308495381837e-18 1.450024476444281e-09 2.039857154482842e-12 4.512896209074807e-08 -1.297110583429759e-09 -1.909258684712697e-112 -9.885278780800865e-84 5.612197718314521e-63 0.2707392123156612 1.850981307160252e-86 3.47664075144571e-87 2.213585615223978e-77 -7.117638595287719e-124 3.885494984872473e-93 4.861501613852784e-86 -1.151492250685194e-91 7.470293821539071e-94 -4.687012681372731e-97 -1.435463374321301e-132 1.771609085009121e-79 3.138293879606805e-86 1.469421308731581e-84 -1.492652844372062e-87 3.33318025707032e-107 8.563622360615966e-99 -1.248545604059221e-142 1.954335177117591e-102 4.986784615303853e-93 8.61605552067251e-96 3.893484765976379e-102 1.709370997773922e-102 -7.00872820137126e-141 -1.043726862219469e-106 3.341297384353274e-108 -4.377188020076664e-141 -2.559932137329258e-92 -5.12154147494533e-93 -8.338195778682048e-141 -7.25727975554068e-141 -8.388837821538102e-86 -1.975457859427656e-90 -5.450112086291184e-120 1.543861243171519e-62 -3.652127640251256e-94 -4.309716506350879e-97 1.222081765612674e-95 -3.466049292981989e-102 5.958453108913887e-85 9.455108595439539e-144 9.455108595439539e-144 3.653429286139945e-142 -2.205006527525268e-91 -1.381613015327069e-143 1.611993736056773e-120 -7.376467127935268e-139 3.444668140942077e-94 -4.538904895007455e-127 0.9080005958065896 -4.296995938549412e-110 -2.224790339446427e-81 1.263086593613079e-60 3.330493140944458e-10 4.165836312744253e-84 7.824561076177907e-85 4.981917052104496e-75 -1.601902580352342e-121 8.74473234189505e-91 1.094134223782269e-83 -2.591559522071764e-89 1.681271504377339e-91 -1.054863577002342e-94 -3.230667661110179e-130 3.98720042702174e-77 7.063074355832596e-84 3.307093673424452e-82 -3.359378831840243e-85 7.501687509234427e-105 1.927337075770591e-96 -2.809988731591723e-140 4.39844108809298e-100 1.122330536451421e-90 1.93913773314679e-93 8.762714220007367e-100 3.847126789953029e-100 -1.577391102464511e-138 -2.349021703461534e-104 7.51995599392143e-106 -9.851341410745966e-139 -5.761407862194026e-90 -1.152659044746682e-90 -1.876602352667479e-138 -1.633330354035696e-138 -1.887999899802779e-83 -4.445984437155251e-88 -1.226607462202345e-117 3.47462890034175e-60 -8.219513554070955e-92 -9.69948937373868e-95 2.75042896253902e-93 -7.800723838004614e-100 1.341015181129993e-82 2.127975824253542e-141 2.127975824253542e-141 8.222443050813281e-140 -4.962608874908322e-89 -3.10947152580363e-141 3.62796858920423e-118 -1.66015477857317e-136 7.752603211809406e-92 -1.021530296312046e-124 1.116975162349852e-09
674 -1.4843695 -30 1.178739808432362 -101325.0000266573 2.357479616864724e-07 0 6.732375629717325e-08 -0.005787180139167403 1.346475125943465e-14 0 0 0 0 0.2707392123868892 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9080005960454729 -0 -0 -0 1.546327749723188e-08 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 5.186047879994137e-08
143 2.604767723283961 -30.07108988199865 1.178739808256298 -101325 7.970001449225449e-09 -8.884376499402352e-18 2.981118359654073e-08 -1.726160126838557e-11 1.734476970613246e-06 -1.546085930937983e-09 -1.909258684712697e-112 -9.885278780800865e-84 5.612197718314521e-63 0.2707392123464499 1.850981307160252e-86 3.47664075144571e-87 2.213585615223978e-77 -7.117638595287719e-124 3.885494984872473e-93 4.861501613852784e-86 -1.151492250685194e-91 7.470293821539071e-94 -4.687012681372731e-97 -1.435463374321301e-132 1.771609085009121e-79 3.138293879606805e-86 1.469421308731581e-84 -1.492652844372062e-87 3.33318025707032e-107 8.563622360615966e-99 -1.248545604059221e-142 1.954335177117588e-102 4.986784615303853e-93 8.61605552067251e-96 3.893484765976379e-102 1.709370997773922e-102 -7.00872820137126e-141 -1.043726862219469e-106 3.341297384353274e-108 -4.377188020076664e-141 -2.559932137329258e-92 -5.12154147494533e-93 -8.338195778682048e-141 -7.25727975554068e-141 -8.388837821538102e-86 -1.975457859427656e-90 -5.450112086291184e-120 1.543861243171519e-62 -3.652127640251256e-94 -4.309716506350879e-97 1.222081765612674e-95 -3.466049292981989e-102 5.958453108913887e-85 9.455108595439539e-144 9.455108595439539e-144 3.653429286139945e-142 -2.205006527525268e-91 -1.381613015327069e-143 1.611993736056773e-120 -7.376467127935268e-139 3.444668140942077e-94 -4.538904895007455e-127 0.9080005959098482 -4.296995932060719e-110 -2.224790336086875e-81 1.26308659170575e-60 6.84719079606069e-09 4.165836306453617e-84 7.824561064362401e-85 4.981917044581535e-75 -1.601902577933383e-121 8.744732328690037e-91 1.094134222130068e-83 -2.59155951815837e-89 1.681271501838529e-91 -1.054863575409441e-94 -3.230667656231698e-130 3.987200421000854e-77 7.063074345166976e-84 3.307093668430563e-82 -3.359378826767402e-85 7.501687497906478e-105 1.927337072860209e-96 -2.809988727348489e-140 4.398441081451092e-100 1.122330534756642e-90 1.939137730218589e-93 8.7627142067752e-100 3.847126784143662e-100 -1.577391100082566e-138 -2.349021699914386e-104 7.519955982565895e-106 -9.851341395869915e-139 -5.761407853493992e-90 -1.152659043006106e-90 -1.876602349833709e-138 -1.63333035156928e-138 -1.887999896951799e-83 -4.445984430441577e-88 -1.226607460350102e-117 3.474628895094875e-60 -8.219513541659051e-92 -9.699489359091933e-95 2.750428958385725e-93 -7.800723826225104e-100 1.341015179104988e-82 2.127975821040184e-141 2.127975821040184e-141 8.222443038396953e-140 -4.962608867414518e-89 -3.109471521108162e-141 3.627968583725803e-118 -1.660154776066248e-136 7.752603200102562e-92 -1.02153029476948e-124 2.296399280048028e-08
